Dataset,ImageFileName,Human1 Caption,Human2 Caption,Human3 Caption
GD-VCR,west_40.jpg,"The picture is taken at a wedding dress making workshop. The bride-to-be has come to try on the dress, but it doesn't seem to fit. Very angry and nervous she addresses the seller. There are two more people very intrigued by the situation encountered.",The picture shows four women. One of them is a bride. The bride looks frightened and is wearing a white wedding dress.,"The image is taken inside of a wedding boutique. There is a women standing in a white wedding dress with a flower crown around her head. She is standing there bewildered and in the middle of a turn to say something or react to the man who sitting alongside her staring at her. Behind her the woman who was accompanying her is holding her hand to her chest, just as bewildered as the bride. There are also multiple other white wedding dresses and a mirror behind the woman in the boutique."
GD-VCR,west_8.jpg,The picture is taken on the street. The postman driving the postman hands the srisoris to the two ladies. There are four more ladies on the sidewalk waiting to receive their mail,The picture shows a group of people next to a horse cart.,"This image shows a carriage in the street, which has big wheels and a place for people to sit. To the side of the street the carriage is on there are multiple women wearing 1900s attire, such as formal wear and hats, onlooking the carriage. Behind the carriage, there are also two people — a man holding an orange umbrella, and a woman standing alongside him. This is probably taken in suburban America or England in the 1900s, and is showing a departure or arrival of some sort."
GD-VCR,west_59.jpg,The picture is taken in a courtroom. The person under investigation is an officer. He wears a military coat with many decorations. He is holding the cap in his hand. Several people are present in the room. The officer is very thoughtful and speaks to the investigators.,The picture shows an army soldier in a uniform standing in front of other people in a court room. He is giving a speech and holding his hat.,"The image is taken inside of a courtroom, as indicated by the varying witnesses in the background onlooking the scene, the formally man in the background, and the varying stands, painting and flags in the back of the room on the wall. In the front of the room, there is a man standing before a microphone. He appears to be a general or army figure with many awards and pins on his dark green suit, and he has his hat clutched in his left hand and is standing up straight."
GD-VCR,west_22.jpg,"A scene from a western movie. A revenge between two men. One of them has his face covered and is pinned and immobilized by the other with the help of a scarf. At the same time, he is threatened by him with a knife. Several men and women are present at their revenge.",The picture shows a person in front of a sword. Behind him there is a group of people and a Texas fllag.,"The image is of a fight between two men. They are both holding knives as weapons and clutching them towards each other menacingly. The one on the left is also pointing something like a sword or gun towards the other man's mouth, and the man on the right appears to have his hands out in surrender due to this fact. Surrounding them watching there are men who are wearing cowboy outfits and cowboy hats, and also women who are wearing traditional American clothing. On the second floor balcony behind them there is also the flag of Texas. This image is probably taken in Texas sometime in the late 1800s or early 1900s, and is probably a bar fight."
GD-VCR,west_75.jpg,"The picture is taken in nature, it is the bank of a river. Several people, men and women, are seated at a table. They are dressed in orange T-shirts. They have burgers and vegetables in front of them and are participating in a competition to see who can finish eating first. Behind them is a person overseeing the competition.",The picture shows a group of people at a crab eating contest.,"The image is of many people sitting at a table. The tablecloth says Crab Eating, and there are five people in yellow T-shirts working away at crabs which are lying on the table. There is a woman, who is sporting a blue sash and bow  watching them eat from behind. There is a flag, and the image is taken during the day somewhere out in a field or in the countryside. Eating competitions, such as crab in this case, are very common in the United States (but not so much in other countries) during events such as fairs and festivals."
GD-VCR,west_35.jpg,The picture is taken in front of a block of flats. Two boys are playing basketball. One of them has the ball in his hand and is knowledgeable about basketball. He wants to teach the other this game. Both are very determined to play basketball.,The picture shows two people playing basketball in a court outside.,"The image is of two people standing on a basketball court that was recently rained on, as shown by the various puddles on the floor. One of the people is holding a basketball in his right arm, and is sporting a sports jersey as if ready to play basketball. The other person is wearing an orange T-shirt, and has their braids tied up. They have their arms up as if telling the other person something important or blocking them from going somewhere. Behind them there are apartments and also cars and a tree. This image appears to be taken in the United States or somewhere in America."
GD-VCR,west_48.jpg,"The picture is taken in a church. Several people attend the funeral of a close person. People are waiting on seats, but also standing, for the priest's service to begin.",The picture shows multilple people at a church ceremony. They are wearing suits and coats. There is a lighted cross in the background.,"The image is of five people. It is taken in front of the church, with a glowing cross below a chandelier and wooden and wooden walls. A man and a woman are speaking, and an older woman is sitting down and looking off into the distance as if bewildered or confused by something, while another person is speaking down to her. Closer to the camera there is a man formally dressed in a suit and tie, who is looking off into the distance as if looking at something astonishing or thinking about something shocking."
GD-VCR,west_102.jpg,The picture represents a group participation in an event. The persons are women dressed in elegant white dresses. They all have long hair and unique hairstyles. I am young. They have all their attention focused on the event they are participating in.,The picture shows multiple women wearing white dresses.,"The image is of a group of many women gathered together. They are all wearing formal white dresses with low square cut necks. They are all looking in the same direction, to the left. They also all have their hair done up, with varying decorations to make themselves look more beautiful and formal. They also are all sporting a slight grin, as if to appeal to the eye of the beholder. This image appears to be taken many years ago, perhaps at a ball a formal event of the like."
GD-VCR,west_32.jpg,"The picture is taken in a church. There are two people: a nun and a man next to her. The nun is ready to pray, with her hands crossed on her chest and her eyes fixed on the icon. The man is very attentive and curious to the nun's prayers.",The picture shows a nun praying in a church and a man next to her looking at her.,"The image is of two people. It is taken inside of a church, with steeples and arches and also two lights in the background. The person on the left, a nun who is wearing traditional nun clothing, is clutching her hands together in front of her chest and looking off into the distance as if praying. The person on the right, a man, is dressed slightly less Catholic, yet still formally. He is looking at the nun in a confused manner."
GD-VCR,west_31.jpg,"The picture is taken on the ground floor of an apartment building. There are two men one older and the other younger. The two are talking thoughtfully, while the young man is holding a burger in his hand which he is tasting.",The picture shows two men talking to each other next to a stairwell.,"The image is of two men in the stairwell of apartment complex. The man on the right is dressed more informally, with jeans and a leather jacket and T-shirt. He is holding a bag and appears to be lifting something to his lips. The man on the left is dressed formally, wearing a suit. He is reaching into his pocket. It appears as if they are having some sort of deal, with the man on the left buying something from inside the bag of the man on the right."
GD-VCR,west_12.jpg,"The picture is taken in a room of a child playing basketball. On the walls are posters of athletes playing basketball, a T-shirt, posters of the basketball team. In the room there are several sports items including basketballs. The child is sitting in bed, wrapped in a blanket, which has sports symbols, and is talking to his father. The mother is also with the child.","The picture shows a little boy in a bed in a room filled with of toys and decorated with Lakers posters on the walls. Next to him sits an older man, possibly his father. ","The image appears to be of a kid or teenagers room. The room is decorated with posters of American things, such as the American Los Angeles football team the Lakers, basketball players, lamps, a shelf full of pictures and clothes, and a soccer ball and varying other sport posters. There are three people in the room — two bad, which each have one kid. One of them has soccer themed covers, while the other has more feminine and flowery covers. On the boys bed there is a man who appears to be talking to both of them. The image is taken at night, since they are both going to bed."
GD-VCR,west_78.jpg,A cart with various textile items for sale. The girl and the boy want to sell the products. The girl presents a dress to a lady. The boy is very attentive to the lady's decision to buy the product. She looks at the offer and looks surprised.,"The picture shows three people, two women and a man. One of the woman shows the other two people some clothes from a carriage.","The image is of three people conversing on the street. The man is dressed in traditional Romanian clothing, including the vest and the hat. The two women are dressed more modernly, one of them wearing high heels — a sign of the more modern age. There is a cart full of objects such as clothes, which one of the women is inspecting, and perhaps speculating to buy. The image seems to be taken out of a window, which has frilly drapes. There is another cart behind the three people, and to the right there is a plant and a fence."
GeoDE,Romania_hand_soap_1420.jpg,A container of liquid hand sanitizer soap.  It is from the SELEX range. It is next to the kitchen sink. It is a product for disinfecting and cleaning hands.,The picture shows a bottle of liquid soap next to a sink. The soap is typically used for handwashing.,"The image is taken in the kitchen, and it shows a bottle of liquid detergent next to the sink. The sink has only one basin. The detergent has a label written in Italian. On the sink there is also a yellow wipe, and a yellow sponge. The sink has two knives in it, and no dishes. The surface next to the sink is of dark color, and clean."
GeoDE,Romania_house_16903.jpg,"A rather large villa comprising, two floors. On the roof there are two satellite dishes and a camera. The yard is very small and is being landscaped.",The picture shows a two stories house with eight windows. The house is made of brick and is enclosed by a wooden fence.,"The image shows a Romanian household or building in the winter. There are dead trees, a fence, and another building behind it. In front of the building there is a wooden fence. There is a thin layer of snow on the ground, along with snow falling. The house is a common Romanian architecture type, blocky with many windows. The house is white and black."
GeoDE,Romania_storefront_22453.jpg,"The picture is taken at the base of an apartment building, showing a store called Profi. Profi is a widespread chain of supermarkets/convenience stores and is one of the most popular places to shop for grocery needs in Romania, and is often found at the base of buildings, in malls, and also in its own building.","The picture shows Profi City, a popular market chain in Romania that can be found in most cities. The store is typically located on the first floor of an apartment building, as depicted in the picture, with an apartment balcony situated above the chain. Many Romanians choose to do their grocery shopping at this market.","The picture is taken at the base of an apartment building, showing a store called Profi. Profi is a widepsread chain of supermarkets/convenience stores and is one of the most popular places to shop for grocery needs in Romania, and is often found at the base of buildings, in malls, and also in its own building."
GeoDE,Romania_bus_60951.jpg,The picture shows a car park in Romania. A bus is parked in the parking space of a car. The bus has quite a large seating capacity and exceeds the parking space. Next to the bus we have a reserved seat highlighted by a RESERVED sign. The car park is in front of the Altex store.,"The image shows a minibus in a store parking lot in Romania. The store is called Altex and it is a popular appliances store in Romania. The minibus is a common mode of transportation in Romania, used for traveling within the same city or between nearby cities.","The image shows a parked bus. The bus is used for transporting people to and from places. Behind the bus, there is a store that has a sign advertising it sells smart phones, tablets, and entertainment things. There are apartment buildings in the background, along with signs and greenery such as trees and bushes. There is also another car, and a sign on the empty parking spot saying it is reserved. There are also poles sticking out of the ground where people walk, which is made of a pattern of bricks."
GeoDE,Romania_stove_33595.jpg,"A very used ZANUSSI stove. The surface of the stove is worn and so are the knobs of the stove. In the oven you can see two baking trays already rusted. The surface near the mesh was affected by the flame of the stove, it is burnt. It is a stove bought a long time ago, powered by a gas cylinder. That person did not have access to the gas supply.","The picture shows a kitchen with a Zanussi stove positioned next to a gas tank used to fuel the stove. This setup is commonly found in rural areas of Romania where gas supply is not available. The stove appears well-used, with visible rusty and dark marks.","The image shows a oven. The oven is open, revealing the pots and pans inside — which is a very common way to store your pots and pans in Romania. The oven is slightly rusted, and there are four burners. To the right of the oven there is a tank of gas, and to the left there is a countertop with a red vase and a black bowl. There is also a carpet on the floor, which is very common in Romanian kitchens."
GeoDE,Romania_cleaning_equipment_10594.jpg,"Two items necessary for cleaning the house and outside. It is a broom and a sower. Both are red in color and have two equally long tails. It helps the person cleaning, to bend less, so to exert less effort. The trash is collected with the broom, and once collected with the broom, it is placed on the sod to be thrown away.",The picture shows a red broom in a bathroom with tiles. The broom is typically used for cleaning inside the apartment.,"The image shows a room and dustpan leaned against the corner of a room. The room has stone walls, most likely in a bathroom. The broom is red, with a gray handle. The dustpan, which is holding the broom, is also red with a gray handle. Behind the broom and dustpan there is what seems to be like a faucet or something metallic sticking out of the wall. These are the most common housecleaning tools in Romania."
GeoDE,Romania_jug_39004.jpg,"In the picture is a white painted shed. The plank is traditionally carved. In the attic on a mosaic is a glass decanter. The decanter is colored red, and the stem and the stand on which it rests are blue.",The picture shows a dark vase in front of a white fence. THe vase can be used for storing liquids like water or for keeping flowers.,"The image shows a red vase or pitcher made out of glass. It is tall, and is sitting on the concrete ground outside. Behind it is a white fence which has holes in a pattern in it. Vases are commonly used to hold and display flowers or other things, or to hold beverages. The picture is taken in daytime."
GeoDE,Romania_hand_soap_1419.jpg,A dark colored container with a light colored lid. Contains liquid soap with argon oil. It is used for hand care. Moisturizes and perfumes. Gives freshness.,The picture shows liquid soap in a bathroom.,"The images shows a liquid hand soap, called săpun lichid, from the brand Fresh & Clean with the scent of argan oil or ulei de argan.  This type of soap is often found next to the sink in Romanian bathrooms, although this specific soap is Italian and lesser found in Romanian stores."
GeoDE,Romania_candle_37389.jpg,"A scented candle in a glass jar. The candle burned for a while, then went out. It has a red color. It freshens the air in the room by emanating different fragrances.",The picture shows a red candle in a glass container.,"The image shows a red candle, or lumănare. Candles, lit or unlit, are very common to find in Romanian homes as a decoration and also a source of a pleasent scent for homes, and are often found on tables, dressers, and a variety of other places. Candles can also be used religiously, and many have religious pictures on them and are burnt for religious beliefs (such as the light being a reminder of God's presence). "
GeoDE,Romania_religious_building_45801.jpg,"In the picture is the Church of the Greeks in Blaj. It is a Greek-Catholic place of worship dedicated to the Saints Archangels Michael and Gabriel. The ensemble consists of the following monuments: - Church of the Holy Archangels Michael and Gabriel (of the Greeks). - The cemetery of the church of Saints Archangels Michael and Gabriel, considered the oldest cemetery in Blaj. It represents the most important tourist objective in Transylvania.",The picture shows an orthodox church in Romania. At the entrance of the church there is a cemetery with cement memorial stones and red candles.,"The image shows a church in Romania, which all commonly look very similar. There is a grey peak, and also red tiles. Below the church there is also a cemetery, which has a car and a person who was probably visiting the cemetery. There are also stairs leading up to the cemetery and church, along with a building to left of it, many dead trees, and a light posts and different greenery around it. The picture was probably taken in fall or winter."
GeoDE,Romania_monument_60830.jpg,"It is the statue from Piatra Neamț Mother and son sculpted by Dinu Rădulescu. It is white in color made of decorative stone. It is part of the 28 statues in Piatra Neamț, works of art by the great Romanian sculptor.","The picture shows a sculpture called ""mother and son"" by Dinu Radulescu in 1979. The sculpture is located outside, near a parking lot with multiple cars. The sculpture is in Piatra Neamt, a small city from Romania.","The image shows a sculpture called Mamă si Fiu, which translates to mother and son. Underneath that it is labeled that it was created by Dinu Rădulescu in 1979. The sculpture is of a mother on her back holding her son. The sculpture is on grass, and behind it there is a parking lot full of cars, apartment buildings, lots of trees and greenery, and also a variety of houses."
GeoDE,Romania_truck_42353.jpg,An orange truck. It is intended for the transport of construction materials. He is driving on a street in Romania passing by a park where there are many trees.,"The picture shows a van from a construction company called Arabesque. The car is orange and is parked on a street in Romania, near some trees. The construction company is very popular in Romania.","This image shoes a yellow Arabesque truck, or camion, driving on a street lines with trees. The truck has 'Arabesque Când Construiesc' written on it, which is a slogo for Arabesque and means ""Arabesque When Building"". Arabesque is the number one most common source of construction materials, or materiale de construcție in Romania, and the truck was delivering some sort of construction material."
GeoDE,Romania_backyard_41570.jpg,"A country house colored in orange-yellow and covered with white tin. It has a garden where vines are planted. To support the vine in the garden are stakes to which wire is tied. It is spring and some green weeds have sprouted, the trees are bare, they have not turned green.",The picture shows a crop in a graden next to a yellow house. The house is located in a village in the countryside.,"The image is a picture of a house’s garden in the winter or early spring. The ground is bare other than a few weeds and dead leaves and sticks. There are long concrete sticks evenly spaced throughout, which are used or growing plants such as beans and cucumbers. There is also a dead tree, and a fence around the garden. Behind the garden there is a yellow house, of which the architecture is very common in Romania."
GeoDE,Romania_light_fixture_7365.jpg,"The picture is taken in a room. There is a chandelier on the ceiling. It has three bulbs. Only the middle bulb is lit. There are two more bulbs on the side: an economical one that is turned off and the other that is isolated. The room is dimly lit, saving energy.",The picture shows a white light fixture inside a house.,"The image shows a ceiling light fixture. The middle lightbulb is on, the left one is turned off, and the right light fixture is missing and and the lightbulb is broken. In Romania, a variety of light fixtures are used to not only illuminate the house but also decorate a room. In the image you can also see a wooden rod holding up white curtains over a window, which is closed — even though there is daylight outside. The walls are light yellow, which is one of the most common wall colors in Romania."
GeoDE,Romania_bag_23625.jpg,"The picture is taken in a kitchen, a bag is hanging on one of the knobs of the stove oven. The purchased products have been removed and the bag is ready for the next purchases.",The picture shows a plastic bag attached to a stove. ,"This image shows a blue plastic shopping bag, called a pungă, hooked to the knob of a new oven, or cuptor. The oven has the European rating sticker on it, and is rated 'A'. Bags, most often plastic, are commonly used in Romania to shop in stores and gather things. "
GeoDE,Romania_monument_21648.jpg,"Piazza dei Martiri - Italy, Martyrs' Square in Naples - Italy. It is a monument dedicated to the citizens of the city who died for freedom. The column is topped by a goddess of peace and is surrounded by four lions, each representing Neapolitan martyrs from different historical periods. The square is surrounded by elegant, opulent buildings. It is a place for concerts, festivals, a place for locals and tourists.",The picture shows a statue in a city square.,"The image shows a monument of some sort with an angel on the top of a pole, two lions on the bottom of it, and multiple inscriptions and images. The statue is in the middle of a plaza, surrounded by bushes, and there are two people standing at the bottom of it. Around the plaza there our apartment buildings and shops. These types of monuments are common to see throughout Europe and Romania."
GeoDE,Romania_toothpaste_toothpowder_27182.jpg,LACALUT toothpaste intended for children over 8 years old. Brushing teeth makes it a refreshing experience and will motivate children to brush their teeth regularly.,"The picture shows a toothpaste called Lacalut, often used in Romania.","This image shows a tube of toothpaste, or pastă de dinți with the brand Lacalut. This toothpaste is a commonly used one in Romania for denistry reasons such as whitening teeth and cleaning them, but most notably its purpose is to tighten, firm, and make the gums healthier and prevent issues such as cavities."
GeoDE,Romania_plate_of_food_32419.jpg,"The picture is taken in the kitchen of a Romanian housewife after the Easter holiday. A plate with leftover homemade cookies. The platter is placed on a table that has a red tablecloth with designs symbolizing the Easter celebration, painted eggs and bunnies. This is a traditional Romanian custom.",The picture shows some dessert on a plate. The plate is on table covered with a colorful tablecloth.,"This image shows a one of the most common Romanian desserts, called albinuță. The desert is multilayered: cake, jam, cream, jam, cake, and topped with powdered sugar. The layering makes it look like a bee, which is where the name derives from — albinuță meaning bee. The dessert is on a plate decorated with purple flowers, and it is on a table with a red Easter tablecloth and a piece of foil nearby."
GeoDE,Romania_flag_51011.jpg,"In the picture is the building where the National Bank of Romania is located. It is the central bank of Romania, a public institution with its headquarters in the city of Bucharest. It has flown the flag of the European Union but also the flag of Romania. The flag of the European Union is blue and has 12 golden stars in a circle. Near B.N.R. it is a very old building. B.N.R. it is a venerable institution with a rich tradition.",The picture shows an European flag next to the sign of the National Romanian Bank. Next to the bank there is an old apartment building with old walls.,"The image shows two buildings, one labeled as Banca National A Romaniei — which translates to National Bank of Romania, and the left one is being an apartment building, which is cracking. There are also two flags on poles in the image, the right one being the European flag and the left one being the Romanian flag."
GeoDE,Romania_spices_9188.jpg,"There are two bay leaves, for a very long time. They are already discolored and have some impurities on their surface. It is an aromatic plant used since ancient times. It is used both as a spice and as a natural remedy. Dried bay leaves have a special smell and are used in both Romanian and Oriental cuisine.",The picture shows two leaves of spices on a white cutting board.,"The image shows two dried bay leaves, or frunze de dafin. Bay leaves are one of the most common herbs and spices to use in Romanian cuisine, being included for flavor and a variety of dishes such as cabbage rolls or sarmale, goulash or gulaș, other soups or supe, and many other dishes. Dried bay leaves can be found at most grocery stores and also being grown in Romanians homes, and they are a staple of Romanian cuisine. "
GeoDE,Romania_bus_47918.jpg,"It is a local bus that runs on a street in Bucharest. The bus belongs to STB (Societății de Transport Bucharest) and runs in front of a block of flats. Although it has a large seating capacity, it is not crowded, but rather free.",The picture shows a blue city bus stationed next to an appartment building.,"The image shows a bus, or autobus, driving on a road that is lined with trees and apartment buildings. Using the bus is one of the most used modes of transportation (in urban areas) in Romania, and many Romanians commonly use the bus to get to wherever they need within the city."
GeoDE,Romania_storefront_48440.jpg,"The picture shows the window of a store with products for both children and adults. In the toy window we see children's clothes and shoes. In the showcase with adult and children's shoes, we see children's toys. In cosmetics, we see satchels and clothes.","The picture shows a store in Romania that sells toys, cosmetics, shoes and clothes. These stores are very popular in Romania for their low prices.","The image shows a storefront in Romania, which advertises selling common items such as toys, clothes, kitchenware, and more. In front of the store there is a car parked, and the brick storefront also has blue graffiti on it. There is also a full bottle of water on the steps leading up to the store, which is a common European and Romanian way of diverting animals, such as cats, from relieving themselves on the building."
GeoDE,Romania_bicycle_22703.jpg,"In the picture you can see a bicycle parked on a very narrow street. It is tied with a blue string to a utility pipe on a block. The owner of the bicycle, has taken safety measures for the bicycle. The lack of parking space is visible.",This picture shows a bike in a city alley. The bike is close to concrete flower pots and apartment buildings.,"This image shows a bicycle, or bicicleta parked and locked on the side of an alley between two buildings. A bicycle is often used as a mode of transportation in Romania, although not as much as in other European countries. Many cities have bicycle lanes built in order to make biking simpler for its citizens."
GeoDE,Romania_monument_47015.jpg,"A monument to the musical genius George Enescu. Born in Liveni, George Enescu commune in Botoșani county in Romania in 1881. He was a violinist, pianist, composer and teacher. Attracted by nature, he illustrated it in creations that enjoy great popularity in all corners of the world. He studied in Vienna and Paris. He composed the first creation Romanian Poem, which reflects the composer's love for the country and his attachment to Romanian traditions. The opera that covered the entire creative force of the musician is Oedipus, one of the most valuable creations of opera music of the 20th century.","This picture shows the bust of George Enescu, a famous Romanian violonist. The sculpture is located in a park.","This image shows a statue and monument of George Enescu, who was a famous musician in Romania. The monument is inscribed with his name, and also says he was born in 1891 and died in 1955. This monument is in a forest, with streets around it and a light post to the left of it. Enescu also wrote several famous symphonies, and he is well-known within Romania and also outside of Romania."
GeoDE,Romania_stall_46204.jpg,"The picture shows a stand displaying scented candles. They are handmade and burn without smoke. They are brightly colored and have different aromas: lavender, vanilla, sandalwood, lilac. They are appreciated by customers both for their appearance and their smell. We can also offer gifts to our loved ones.",The picture shows a little wooden store in Romania. These stores are often built during winter holidays and sell holiday products. This store sells scented candles.,"This image shows a Romanian street stall selling decorative perfumed candles (lumănări decorative parfumate). In the stand, there are a variety of candles in different shapes, sizes, and colorations. There are also signs that mark the varying scents, such as lavander or lavandă, lilac or liliac, ocean, and many others. These candles are bought and very commonly used in Romanian households, not only for the purpose of scent but also for decorative purposes throughout a household. The stand also shows this by saying 'We bring light to houses and to souls"", showcasing how they not only are used to decorate and perfume but also to bring light to people. "
